text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:30:18,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:30:03,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:29:59,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:29:23,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:27:49,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:27:29,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:27:21,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:27:15,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
"RT @MrFilmkritik: Shoutout to Theon Greyjoy for being possibly the only character with a redemption arc TO DIE WITH HIS ARC INTACT.
#Gameof…",05/13/2019,Theo Greyjoy,Neu,0.0,1.0,05/13/2019 19:25:54,rt mrfilmkritik shoutout to theon greyjoy for being possibly the only character with redemption arc to die with his arc intact gameof
RT @SonnyBunch: imagine naming your son after theon greyjoy https://t.co/LzGKkfIIq6,05/13/2019,Theo Greyjoy,Neu,0.0,0.0,05/13/2019 19:25:13,rt sonnybunch imagine naming your son after theon greyjoy http co lzgkkfiiq6
